Country,Camp,School,Gender,B_Count,B_ICT_1,B_ICT_2,B_ICT_3,B_ICT_4,B_ICT_5,B_ICT_6,B_ICT_7,B_ICT_8,B_ICT_9,B_ICT_10,B_ICT_11,B_ICT_12,B_ICT_13,B_ICT_14,B_ICT_15,B_ICT_16,B_ICT_17,B_ICT_18,B_ICT_19,B_ICT_20,B_ICT_21,E_Count,E_ICT_1,E_ICT_2,E_ICT_3,E_ICT_4,E_ICT_5,E_ICT_6,E_ICT_7,E_ICT_8,E_ICT_9,E_ICT_10,E_ICT_11,E_ICT_12,E_ICT_13,E_ICT_14,E_ICT_15,E_ICT_16,E_ICT_17,E_ICT_18,E_ICT_19,E_ICT_20,E_ICT_21
Tanzania,Nyarugusu,Amitie,Female,6,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,7,6,5,5,3,3,6,5,6,5,5,4,5,5,6,5,6,5,6,6,4,3
Tanzania,Nyarugusu,Amitie,Male,20,12,8,3,6,7,8,8,9,7,6,8,7,3,9,6,8,6,13,10,6,6,29,27,23,20,11,10,23,23,23,23,23,22,19,21,25,21,24,19,27,24,11,13
Tanzania,Nyarugusu,Fraternite,Female,4,2,1,0,1,1,1,1,3,1,1,0,1,2,1,2,2,2,4,3,2,2,3,3,2,1,1,1,2,2,3,2,2,2,2,1,2,3,2,2,3,3,3,3
Tanzania,Nyarugusu,Fraternite,Male,21,12,10,4,4,4,7,8,10,9,7,8,9,6,9,8,16,10,17,17,5,5,26,23,20,17,13,13,15,12,22,19,21,16,15,17,13,19,21,16,23,22,11,12
Tanzania,Nyarugusu,Hodari,Female,13,2,2,0,0,0,1,1,1,2,2,2,1,0,1,1,2,1,2,1,1,1,9,9,9,4,4,4,8,8,8,6,7,7,6,5,8,8,9,7,9,9,4,4
Tanzania,Nyarugusu,Hodari,Male,14,6,6,1,0,0,5,3,4,3,2,4,2,3,5,3,5,2,7,6,1,2,17,15,12,9,8,9,13,11,13,11,11,11,9,10,13,10,12,10,15,13,8,9
Tanzania,Nyarugusu,Rehema,Female,5,1,1,0,1,1,1,1,2,1,1,3,1,0,1,2,1,1,2,2,1,1,3,3,3,2,1,1,3,1,3,2,2,2,2,2,3,2,3,2,3,3,1,1
Tanzania,Nyarugusu,Rehema,Male,20,11,4,0,2,2,4,2,5,3,2,2,2,0,3,4,3,4,9,7,0,0,18,17,15,12,5,4,14,11,15,15,14,13,8,11,14,13,15,9,17,15,4,4
Unknown,Unknown,Charite,Female,5,1,1,2,1,1,2,2,2,2,1,1,1,3,2,2,1,1,1,2,1,0,2,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0
Unknown,Unknown,Charite,Male,29,12,8,4,4,5,7,8,7,7,6,7,6,4,7,9,7,5,12,8,5,4,24,14,13,4,5,4,12,7,11,10,12,11,9,3,11,12,13,8,14,11,4,6
Unknown,Unknown,Elimu,Female,11,3,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3,2,5,3,2,1,11,4,4,0,1,1,2,0,1,2,0,0,0,0,2,1,4,0,4,1,0,0
Unknown,Unknown,Elimu,Male,13,5,5,2,3,2,3,3,4,3,3,3,4,2,3,3,4,3,7,4,2,2,13,9,7,2,2,3,7,5,8,7,4,4,6,3,7,4,7,6,9,8,4,4
Unknown,Unknown,Matunda,Female,7,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,2,0,3,2,0,0,4,2,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,2,1,0,0
Unknown,Unknown,Matunda,Male,14,6,6,1,0,1,5,1,4,2,2,3,3,0,3,2,9,3,9,6,1,0,11,6,3,0,1,1,5,0,4,1,0,0,1,0,5,1,4,1,6,5,0,0
