Date,Country,Camp,School,Subject
01/03/2018,South Sudan,Ajuong Thok,Napata,Mathematics
02/03/2018,South Sudan,Ajuong Thok,Napata,Languages
02/03/2018,South Sudan,Ajuong Thok,Napata,Mathematics
05/03/2018,South Sudan,Ajuong Thok,Napata,Languages
07/03/2018,South Sudan,Ajuong Thok,Napata,Languages
07/03/2018,South Sudan,Ajuong Thok,Napata,Languages
05/03/2018,South Sudan,Ajuong Thok,Napata,Sciences
08/03/2018,South Sudan,Ajuong Thok,Napata,Languages
07/03/2018,South Sudan,Ajuong Thok,Napata,Other
09/03/2018,South Sudan,Ajuong Thok,Napata,Sciences
12/03/2018,South Sudan,Ajuong Thok,Napata,Languages
14/03/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
14/03/2018,South Sudan,Ajuong Thok,Napata,Languages
23/03/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
23/03/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
28/03/2018,South Sudan,Ajuong Thok,Napata,Sciences
26/03/2018,South Sudan,Ajuong Thok,Napata,Mathematics
28/03/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
28/03/2018,South Sudan,Ajuong Thok,Napata,Sciences
18/07/2018,South Sudan,Ajuong Thok,Napata,Sciences
29/07/2018,South Sudan,Ajuong Thok,Napata,Sciences
19/08/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
27/08/2018,South Sudan,Ajuong Thok,Napata,Sciences
29/08/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
16/08/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
02/09/2018,South Sudan,Ajuong Thok,Napata,Languages
04/09/2018,South Sudan,Ajuong Thok,Napata,Languages
03/09/2018,South Sudan,Ajuong Thok,Napata,Mathematics
06/09/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
05/09/2018,South Sudan,Ajuong Thok,Napata,Languages
11/09/2018,South Sudan,Ajuong Thok,Napata,Sciences
13/09/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
